City,income,racaian,racasn,racblk,racsor,racwht,selfcare_diff,ind_liv_diff,amb_diff,is_medicare,is_va,public_assist_inc,ret_income,avg_schl,ss_income,age,disabled,is_insured,is_married,inc_pov_ratio,avg_weight,year,CO,NO2,O3,SO2,GoodHealth,SeenDoctor12mo,CholestCheck,Exercise,Smoke,BingeDrink,Asthma,CVDperCapita
Albuquerque,28091.033819628647,0.05526831877339989,0.022820467106436086,0.031199857372080586,0.13442681404885007,0.7963986450347655,1.972269705603039,1.9359670067288908,1.9359670067288908,1.8475664111249777,1.9625601711535032,26.316474929455175,3033.5693509876273,16.123193775472398,2109.1578033427395,39.57158138705652,1.8703868782314137,1.1426279194152256,0.413620966304154,319.85672990063233,113.32073453378499,2008,NA,NA,NA,NA,83.7,58.5,72.7,32.4,22.4,17,10.6,228.5
Arlington,22892.552240266094,0.016491283178891158,0.018611591016177164,0.05826920056541542,0.015509659180147635,0.906353070519868,1.9647589983696334,1.9331153531759389,1.9331153531759389,1.806384482487828,1.9671744934820166,37.11641102082031,1670.6443237005337,15.466669388088338,2649.3782757128433,40.84180147636249,1.8500863829118894,1.1172451704099262,0.48358724674100834,304.9690188633518,83.6348358724674,2008,NA,NA,NA,NA,82.8,63,70.4,26.4,17.3,19.7,8.3,285.4
Atlanta,29955.652530674844,0.009464711044252226,0.023379716685470727,0.24432744139400778,0.012661401529397017,0.7252726588943211,1.9675190966456326,1.9316361988215742,1.9316361988215742,1.8189168860473863,1.9718565876896077,22.421815984287658,2059.40051367276,16.072582214438608,2340.1619579996977,40.02851949354394,1.8570891312523505,1.1400275792904602,0.4062930926413439,307.5332292885941,94.04130625548451,2008,NA,NA,NA,NA,84,70.1,77.8,32.1,17.8,17.9,9.4,272.25
Austin,31736.23200728819,0.010909674314134445,0.04660677041553024,0.0667415369805872,0.07147441039627787,0.8244023744585272,1.9726498666896017,1.9473369835739174,1.9473369835739174,1.8779079095138778,1.9733675597625542,20.575410652065703,1710.619213539074,15.884734420744458,1667.7879542060728,36.35681052462699,1.8866516926038825,1.148163003369164,0.43069148082785175,324.3500859458132,104.73552061607573,2008,NA,NA,NA,NA,88,62.3,73.1,32.3,14.7,22.8,5.7,217.16666666666666
Baltimore,24525.342093023257,0.010796221322537112,0.023327549643339118,0.6063235010603432,0.010025062656641603,0.3713128976286871,1.9620485615180576,1.918325326012354,1.918325326012354,1.8264893001735107,1.9739733950260265,77.54518416838252,1620.439258750858,15.682235528942115,2117.256920613132,39.723346828609984,1.8210911895122421,1.1438210911895121,0.25795257374204744,275.18117836316105,122.77385772122614,2008,NA,NA,NA,NA,84.3,77.3,83.5,26.8,21.7,20.1,9.6,385.6
Boston,30340.576342129207,0.010261908408638382,0.07612191759840711,0.27033236330219024,0.061724613263899525,0.6105069689079492,1.9626744563453424,1.9236709770114941,1.9236709770114941,1.8557206310307857,1.9863685097258386,65.05567528735632,1333.125,16.283743061062648,1733.459051724138,37.615255016082095,1.8508194210445703,1.077347220094961,0.31122683412467456,291.4859541491766,111.59457803645275,2008,0.17325902191780823,19.67869035890411,0.020513361643835618,2.330869483561644,86,78.6,83.2,34.7,17.2,22.4,10.1,229
Charlotte,28950.015077060532,0.012579177446694621,0.023641716477830314,0.16879293424926398,0.042822731733428494,0.7700954590061557,1.9729986689484693,1.94630504007906,1.94630504007906,1.8462842358818807,1.977785707913284,46.92434391127704,1854.6063467662239,15.75081026020928,2214.4493246952893,38.654652511374785,1.8786689267552859,1.1318583281291819,0.43741636185208316,321.510558207859,100.21134802390935,2008,0.32285143663911847,11.208203371900826,0.028049355371900828,2.070266874655647,83.6,68.5,78,29,18.7,18.2,7.9,224
Chicago,30387.752601746888,0.008813863161039737,0.06636540185240514,0.2631461009859576,0.0938527039139528,0.5884747535106065,1.9663865546218486,1.9352182267362064,1.9352182267362064,1.8664849118613684,1.9868538990140425,49.41778753774362,1450.6972275597036,15.668427594779367,1756.1016561442034,37.34288168509113,1.8835897818942335,1.1481550642366298,0.34497311024798327,306.4930017924564,131.6545040334628,2008,NA,NA,NA,NA,82.2,63.9,73.7,31,19.5,23.5,7.7,262.45
Cleveland,22941.803138208557,0.033199427436856443,0.012420926259408044,0.16692062612550215,0.017823336565544627,0.7966015606963106,1.963175443757968,1.92543010140139,1.92543010140139,1.818072678579674,1.9721568084222192,40.803805400478524,1685.632904181383,15.147160068846816,2454.9168280733734,39.87181973495868,1.831971187145034,1.1496975573717505,0.4387495959735882,293.68080750368995,98.29376183220207,2008,NA,NA,NA,NA,81.8,71.4,80.3,35.7,23,19.2,7.7,307.6
Colorado Springs,30104.2009202454,0.02379746835443038,0.038312236286919835,0.05822784810126582,0.03713080168776371,0.8869198312236287,1.9778503994190269,1.948102080205876,1.948102080205876,1.8823628691983123,1.970464135021097,18.27364357709629,3156.5472871541924,16.01054666901037,1682.7514475659448,36.245738396624475,1.891308016877637,1.1223628691983123,0.4568776371308017,340.0256858291106,100.63729957805907,2008,NA,NA,NA,NA,86.2,62.3,74.8,39.8,17.6,15.8,8.4,231.9
Columbus,27817.08089517079,0.014352102424366844,0.020287042048487337,0.0836117280379239,0.008921072768332058,0.8904835669360408,1.9702021710984963,1.938522030762114,1.938522030762114,1.8373677236333774,1.9765215281536366,27.00816468139239,1830.7833468254887,15.628810207089119,2287.9493003353764,39.09816912711595,1.86704242175398,1.0973852671655997,0.4700733468953547,327.36992922492664,89.63251898994046,2008,NA,NA,NA,NA,82.9,71.7,76.1,31.3,22,20.2,8.8,257.73333333333335
Dallas,33433.52512207365,0.01602014760922033,0.04071496029941586,0.14802896218825423,0.06880268634789605,0.7502186155514359,1.9739320424922775,1.9472529440737922,1.9472529440737922,1.8806883766483613,1.9786281436916295,17.834146778310124,1548.4981865400975,15.240719786837975,1753.334975148883,35.699429850641856,1.8919514498583372,1.2027003392913358,0.422889922697541,321.68663660439483,110.39651614257232,2008,0.29808579519595446,12.535811499367888,0.022610002528445007,0.5266660088495575,85.2,59.8,71.2,26.9,16.8,17.2,6.3,268.62
