City,year,CVDperCapita
Albuquerque,1980,360.5
Albuquerque,1981,327.8
Albuquerque,1982,347.6
Albuquerque,1983,343.6
Albuquerque,1984,343.7
Albuquerque,1985,340.1
Albuquerque,1986,337.6
Albuquerque,1987,318.8
Albuquerque,1988,309.1
Albuquerque,1989,308.9
Albuquerque,1990,296.4
Albuquerque,1991,292.4
Albuquerque,1992,285.1
Albuquerque,1993,285.7
Albuquerque,1994,290.6
Albuquerque,1995,291.3
Albuquerque,1996,287
Albuquerque,1997,280.3
Albuquerque,1998,260.6
Albuquerque,1999,268.6
Albuquerque,2000,252.6
Albuquerque,2001,267.4
Albuquerque,2002,255.9
Albuquerque,2003,247.9
Albuquerque,2004,242.9
Albuquerque,2005,240.7
Albuquerque,2006,242.4
Albuquerque,2007,237.7
Albuquerque,2008,228.5
Albuquerque,2009,222.9
Albuquerque,2010,220
Albuquerque,2011,217.1
Albuquerque,2012,212.3
Albuquerque,2013,210.4
Albuquerque,2014,216.8
Arlington,1980,519.9
Arlington,1981,525.2
Arlington,1982,496.5
Arlington,1983,509.8
Arlington,1984,508.5
Arlington,1985,495.3
Arlington,1986,485.3
Arlington,1987,470.7
Arlington,1988,460.8
Arlington,1989,462.2
Arlington,1990,430.9
Arlington,1991,422.4
Arlington,1992,416.8
Arlington,1993,414.3
Arlington,1994,410
Arlington,1995,400.4
Arlington,1996,402.2
Arlington,1997,401
Arlington,1998,377.8
Arlington,1999,380.2
Arlington,2000,376.6
Arlington,2001,369.2
Arlington,2002,361.2
Arlington,2003,333.2
Arlington,2004,321.5
Arlington,2005,314.7
Arlington,2006,295.9
Arlington,2007,293.9
Arlington,2008,285.4
Arlington,2009,273.1
Arlington,2010,278.9
Arlington,2011,256
Arlington,2012,257.4
Arlington,2013,253.7
Arlington,2014,257.1
Atlanta,1980,488.75
Atlanta,1981,476.75
Atlanta,1982,455.35
Atlanta,1983,451.5
Atlanta,1984,452.04999999999995
Atlanta,1985,445.1
Atlanta,1986,448.05
Atlanta,1987,428.55
Atlanta,1988,431.45
Atlanta,1989,421.95
Atlanta,1990,395.25
Atlanta,1991,393.54999999999995
Atlanta,1992,380.2
Atlanta,1993,387.35
Atlanta,1994,375.15
Atlanta,1995,376.29999999999995
Atlanta,1996,372.3
Atlanta,1997,359.1
Atlanta,1998,356.35
Atlanta,1999,342.4
Atlanta,2000,342.15
Atlanta,2001,330.29999999999995
Atlanta,2002,319.45000000000005
Atlanta,2003,305.20000000000005
Atlanta,2004,293.79999999999995
Atlanta,2005,283.2
Atlanta,2006,280.1
Atlanta,2007,266.79999999999995
Atlanta,2008,272.25
Atlanta,2009,262.2
Atlanta,2010,255
Atlanta,2011,244.15
Atlanta,2012,238.64999999999998
Atlanta,2013,236.9
Atlanta,2014,241.95
Austin,1980,448.6666666666667
Austin,1981,437.6333333333333
Austin,1982,436.26666666666665
Austin,1983,418.6333333333333
Austin,1984,411.03333333333336
Austin,1985,399
Austin,1986,391.43333333333334
Austin,1987,374.7
Austin,1988,368.2
Austin,1989,356.3333333333333
Austin,1990,344.73333333333335
Austin,1991,333.8666666666667
Austin,1992,327.76666666666665
Austin,1993,325.1333333333333
Austin,1994,319.93333333333334
Austin,1995,319.8
Austin,1996,307.3
Austin,1997,303.4
Austin,1998,295.26666666666665
Austin,1999,295.3333333333333
Austin,2000,291.5
Austin,2001,278.5333333333333
Austin,2002,273.9666666666667
Austin,2003,260.4
Austin,2004,244.63333333333333
Austin,2005,234.5
Austin,2006,228.16666666666666
Austin,2007,223.23333333333335
Austin,2008,217.16666666666666
Austin,2009,206.06666666666666
Austin,2010,204.96666666666667
Austin,2011,199.5
Austin,2012,200.6
Austin,2013,194.83333333333331
Austin,2014,195.63333333333333
Baltimore,1980,589.7
Baltimore,1981,567.7
Baltimore,1982,552.6
Baltimore,1983,573.8
Baltimore,1984,571.9
Baltimore,1985,567.7
Baltimore,1986,555.5
Baltimore,1987,562
Baltimore,1988,562
Baltimore,1989,530.6
Baltimore,1990,522.5
Baltimore,1991,500.4
Baltimore,1992,493.1
Baltimore,1993,505.7
Baltimore,1994,513
Baltimore,1995,508.6
Baltimore,1996,508.2
Baltimore,1997,500.4
Baltimore,1998,480.8
Baltimore,1999,499.8
Baltimore,2000,479.1
Baltimore,2001,473.1
Baltimore,2002,445.8
Baltimore,2003,455.9
Baltimore,2004,426.9
Baltimore,2005,430.3
Baltimore,2006,407.1
Baltimore,2007,403.5
Baltimore,2008,385.6
Baltimore,2009,384.6
Baltimore,2010,365.5
Baltimore,2011,354.7
Baltimore,2012,358.2
Baltimore,2013,404.7
Baltimore,2014,387.1
Boston,1980,500.2
Boston,1981,486.8
Boston,1982,483.2
Boston,1983,473.8
Boston,1984,472.3
Boston,1985,462.2
Boston,1986,450.2
Boston,1987,445.1
Boston,1988,442.7
Boston,1989,405.2
Boston,1990,405.6
Boston,1991,383.3
Boston,1992,380.7
Boston,1993,382.9
Boston,1994,357.6
Boston,1995,362.1
Boston,1996,349
Boston,1997,339
Boston,1998,332.9
Boston,1999,319.2
Boston,2000,309.1
Boston,2001,307.2
Boston,2002,288.7
Boston,2003,285.2
Boston,2004,270.4
Boston,2005,257.8
Boston,2006,249.6
Boston,2007,231.7
Boston,2008,229
Boston,2009,219.6
Boston,2010,212
Boston,2011,201.5
Boston,2012,201.4
Boston,2013,198
Boston,2014,196.3
Charlotte,1980,492.3
Charlotte,1981,486.3
Charlotte,1982,453.2
Charlotte,1983,455.2
Charlotte,1984,455.5
Charlotte,1985,446.2
Charlotte,1986,444.6
Charlotte,1987,435.8
Charlotte,1988,420.5
Charlotte,1989,400.8
Charlotte,1990,387.4
Charlotte,1991,379.7
Charlotte,1992,370.7
Charlotte,1993,362.8
Charlotte,1994,358
Charlotte,1995,351.7
Charlotte,1996,343.2
Charlotte,1997,328.6
Charlotte,1998,316.4
Charlotte,1999,316.9
Charlotte,2000,319.3
Charlotte,2001,293.3
Charlotte,2002,287.2
Charlotte,2003,277.7
Charlotte,2004,256.1
Charlotte,2005,247
Charlotte,2006,238
Charlotte,2007,238.3
Charlotte,2008,224
Charlotte,2009,221.3
Charlotte,2010,211.7
Charlotte,2011,209.1
Charlotte,2012,207.3
Charlotte,2013,210.2
Charlotte,2014,210.9
Chicago,1980,540.9000000000001
Chicago,1981,530.55
Chicago,1982,516.05
Chicago,1983,515.3
Chicago,1984,495.15
Chicago,1985,484.6
Chicago,1986,486.8
Chicago,1987,462.45000000000005
