favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2565,TweetDeck,Montana bill effectively bans all abortions after 24 weeks  https://t.co/MvsLPgxJuF,,False,Fri Feb 24 05:26:00 +0000 2017,493,834997788022714369
6725,Media Studio,".@SheriffClarke: ""@POTUS has made it very clear that it is high time... that we start aggressively enforcing the ru… https://t.co/kzUf61MjlN",,False,Fri Feb 24 00:01:53 +0000 2017,1900,834916220071636992
230,TweetDeck,New whistleblower policy could give move to defund the UN a boost https://t.co/THsn8zURt3 by @GeorgeRussell,,False,Fri Jan 06 15:09:10 +0000 2017,71,817387539355095040
208,Twitter Web Client,Mitchell: I don't want to be the poster boy for waterboarding...I'm the guy who tried to get the CIA to stop...afte… https://t.co/M2J56DHLuR,,False,Thu Jan 26 00:41:54 +0000 2017,70,824417043286028289
332,TweetDeck,"Police: New Jersey man owes more than $56,000 in tolls, fees  https://t.co/3Ued56AWv8 https://t.co/JFh8iUYc0z",,False,Sun Jan 22 02:51:01 +0000 2017,125,822999982294724608
237,TweetDeck,Ailing 89-year-old who moved in with actor neighbor dies  https://t.co/7aatMbXK1J via @foxnewshealth https://t.co/zLkgJ4Dky1,,False,Thu Feb 16 20:55:00 +0000 2017,60,832332475225346048
4932,Twitter Web Client,".@Ayaan: “There is no principle that demeans, degrades and dehumanizes women more than the principle of Sharia law.… https://t.co/RZrtRchfQA",,False,Thu Feb 02 01:02:17 +0000 2017,2623,826958886594715648
9699,TweetDeck,FORD INVESTS IN AMERICA: Cancels $1.6B Mexico factory; $700M to Michigan,,False,Tue Jan 03 16:15:40 +0000 2017,3991,816317113224859652
10110,Twitter Web Client,"Earlier, @POTUS issued this statement regarding his Executive Order concerning extreme vetting. https://t.co/2Iacepg2dw",,False,Sun Jan 29 22:41:53 +0000 2017,4578,825836389455523840
900,Media Studio,".@greggutfeld: ""Comey was just one item in that grocery bag of things in the express lane of loss."" #TheFive https://t.co/fqGKSZ9gzB",,False,Thu Jan 12 22:53:52 +0000 2017,215,819678814607286272
157,Twitter Web Client,".@apalmerdc: ""It's hard to see the Trump Administration actually get any resolution if this is the tactic that they… https://t.co/1b4VrhlJsT",,False,Wed Feb 15 20:46:47 +0000 2017,47,831968019442196480
