favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
445,Twitter Web Client,".@AndyPuzder: Minimum Wage Hikes Are 'Robot Employment Acts'
https://t.co/rE3SbC37b8",,False,Sat Apr 08 21:37:55 +0000 2017,186,850825056343252993
386,Twitter Web Client,"U.S. markets since March 9, 2009. https://t.co/UDkYjf2dVi",,False,Sat Mar 11 16:13:05 +0000 2017,119,840596449377300481
75,Twitter Web Client,".@rodstewart sorry for mock execution video
https://t.co/aGgYYZ0yps",,False,Fri Mar 03 18:10:56 +0000 2017,51,837727002668986369
442,Twitter Web Client,"Dem State Rep to GOP Woman: 'I Wanted to Punch Her in the Throat'
https://t.co/6ZGG9h1JUn",,False,Sat Apr 15 15:07:12 +0000 2017,514,853263443830476801
280,TweetDeck,Russian spy ship spotted back off US coast https://t.co/yGgHEN33cm,,False,Wed Mar 15 17:16:58 +0000 2017,249,842062076482883584
1891,Twitter Web Client,".@MeghanMcCain: ""If I had a kid who was going to @DrexelUniv, I would pull them out and I would start protesting.""… https://t.co/EZjJhmAJPd",,False,Fri Mar 31 16:55:38 +0000 2017,412,847854912306372615
2805,Twitter Web Client,".@POTUS: ""To those allies who wonder what kind of friend America will be, look no further than the heroes who wear… https://t.co/R6zq1jsfGs",,False,Wed Mar 01 03:01:50 +0000 2017,623,836773446042468352
2116,Twitter Web Client,"Tillerson: ""We agree that North Korea has to be de-nuclearized."" https://t.co/Ugx4ACUaQc",,False,Wed Apr 12 17:51:58 +0000 2017,794,852217744888143881
94,Twitter Web Client,"Alabama officials: 2 teens, 2 adults killed in small plane crash https://t.co/KzWcdZ7v6N",,False,Sun Mar 26 08:35:53 +0000 2017,61,845917206269472768
2413,Twitter Web Client,".@RobertGBeckel: The guy was an American hero…the idea of being able to stand up for 5 mins &amp; applaud his widow, se… https://t.co/U1ruI7PNE5",,False,Thu Mar 02 03:41:02 +0000 2017,395,837145697405239298
369,TweetDeck,Alix Tichelman: Prostitute who gave fatal heroin shot to Google exec deported #FoxNewsUS  https://t.co/YaNZQgfFYj https://t.co/xVA6W1TGrt,,False,Sat Apr 08 07:31:00 +0000 2017,185,850611922743558144
225,Twitter Web Client,"Witness: Car mowed down at least 5 people on Westminster Bridge, near Parliament. https://t.co/EMtm9W8ZUS https://t.co/rsLQLo9xzF",,False,Wed Mar 22 17:17:16 +0000 2017,242,844598866863439872
285,Twitter Web Client,"LOOK: Gator Struts Across Golf Course With Huge Fish in Mouth
https://t.co/2ItHqLlPYm",,False,Fri Mar 03 21:52:26 +0000 2017,81,837782744608477184
3479,Twitter Web Client,Gingrich: He is surrounded by ppl who wish to destroy his admin. They're leaking like crazy…and I think if you were… https://t.co/XAv5jWX8bY,,False,Tue Mar 07 01:10:08 +0000 2017,1082,838919663488729088
194,Twitter Web Client,".@katieglueck: ""I think you're going to see a lot of people pointing a lot of different fingers if [#AHCA] doesn't… https://t.co/GHv9008RrE",,False,Fri Mar 24 00:56:21 +0000 2017,58,845076786488717313
343,Twitter Web Client,"Manafort confirms work for Russian billionaire, denies pushing country's 'political interests'… https://t.co/dQRmHoUev9",,False,Wed Mar 22 13:40:15 +0000 2017,169,844544253153988609
343,TweetDeck,Syria strikes: The story behind Trump's '72-hour evolution' https://t.co/7xJcT4B6AI https://t.co/0igAPpckQn,,False,Sat Apr 08 02:15:00 +0000 2017,98,850532398521614336
266,TweetDeck,"MORE: Chuck Barris, creator of the 'Gong Show,' dead at 87 https://t.co/GebJfDhyEj https://t.co/jdj8tS5UJx",,False,Wed Mar 22 06:37:55 +0000 2017,216,844437967695425536
853,TweetDeck,Egypt just found another ancient pyramid  https://t.co/RCyZXLKRyb,,False,Tue Apr 04 16:23:01 +0000 2017,299,849296255784284162
1348,TweetDeck,Brazile admits she forwarded debate questions to Clinton camp  https://t.co/7gy2chD1vX (via @AdamShawNY) https://t.co/w09lmnr2kW,,False,Sat Mar 18 07:16:00 +0000 2017,867,842998002344124416
292,Twitter Web Client,Percent contributions to @UN's budget. https://t.co/TM6X9a4PIT,,False,Sat Mar 18 19:28:23 +0000 2017,285,843182312812691456
4260,Media Studio,".@seanhannity: ""President #Trump is keeping his promises, doing the things he said he would do, with a lot of succe… https://t.co/AlrWe52tKb",,False,Wed Apr 19 02:11:02 +0000 2017,1237,854517665926332416
259,Twitter Web Client,".@DeanAsha: ""Could there be somebody who abuses it? Yes. But you can trace it back to someone who abuses their auth… https://t.co/02MroNGVX2",,False,Thu Mar 30 15:32:09 +0000 2017,96,847471514748305410
981,Twitter Web Client,"JUST IN: Russia knew of Syrian chemical attack in advance, US official says https://t.co/QtkEq8GIEq",,False,Mon Apr 10 19:37:55 +0000 2017,764,851519633974861825
243,TweetDeck,New Orleans begins to take down prominent Confederate monuments https://t.co/W1AclVGjIF https://t.co/GItQC5KkB8,,False,Mon Apr 24 07:02:56 +0000 2017,197,856403066257637376
115,TweetDeck,"Afghan army chief, defense minister resign following deadly Taliban attack https://t.co/KFvPDHU3wm",,False,Mon Apr 24 09:27:01 +0000 2017,76,856439323616522240
1609,Twitter Web Client,".@GeraldoRivera: ""I think that @POTUS is absolutely right that the original sin in Syria is Barack Obama's sin.""… https://t.co/J7mgs8AZeT",,False,Wed Apr 12 16:34:28 +0000 2017,494,852198242272018434
319,Media Studio,#TheFive answers #FacebookFriday questions. https://t.co/gIEmJr2ZQU,,False,Fri Mar 10 22:44:49 +0000 2017,79,840332643740860416
182,TweetDeck,"Venezuela protests escalate, elderly woman reportedly dead from tear gas https://t.co/k9Fg123UBC https://t.co/OMRktjJwYT",,False,Tue Apr 11 13:27:28 +0000 2017,248,851788793535492096
562,Twitter Web Client,"Rep. Brady: ""Our role is first to act now, dismantle #ObamaCare's unpopular taxes and mandates."" https://t.co/4QMRU6iHtr",,False,Tue Mar 07 16:12:35 +0000 2017,99,839146772308066309
