favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
13,SocialEngage,"From Week in Review: ""It's Complicated - Making Sense of Complexity."" - http://nyti.ms/cbyL1T via @nytimesWeek #nytsunday",,False,Sun May 02 19:00:28 +0000 2010,12,13260718027
2,TweetDeck,Also watching: #Oilspill. Oil execs testify before Congress. BP trying a smaller containment dome. http://nyti.ms/9wyvfv,,False,Tue May 11 11:42:51 +0000 2010,15,13783811924
4,Twitter Web Client,Embassy Caterer Arrested in Times Sq. Bombing http://nyti.ms/9Ya5Tj,,False,Fri May 21 22:10:27 +0000 2010,18,14455469833
12,Twitter Web Client,NYT NEWS ALERT: BP’s ‘Top Kill’ Effort Fails to Plug Leak; Company Readies New Approach,,False,Sat May 29 22:32:02 +0000 2010,123,15002512865
6,The New York Times,Honoring Saints in Changing Brooklyn Neighborhood http://nyti.ms/9j1G66,,False,Mon Jun 07 07:55:20 +0000 2010,10,15614597815
9,Twitter Web Client,Israeli Military Boards Gaza-Bound Aid Ship http://nyti.ms/967peA,,False,Sat Jun 05 15:30:13 +0000 2010,21,15493896514
12,The New York Times,Investigating Marriage Fraud in New York | Do You Take This Immigrant? http://nyti.ms/9HuaRu,,False,Sat Jun 12 18:38:30 +0000 2010,18,16021653984
8,The New York Times,"Marc Anthony, Master of Crossover, Relives Boyhood Ballads http://nyti.ms/aWuXzw",,False,Sat Jun 19 16:52:45 +0000 2010,13,16558658000
5,Twitter Web Client,Town & Country Magazine Tries to Broaden Readership http://nyti.ms/dBy9hZ,,False,Mon May 31 00:30:04 +0000 2010,9,15073802091
17,Twitter Web Client,Disney Puts Movie Tickets on a Facebook Site http://nyti.ms/bCzY25,,False,Tue Jun 01 20:12:31 +0000 2010,42,15200677563
2,Twitter Web Client,"Political Times: Voter Insurrection Turns Mainstream, Creating New Rules http://nyti.ms/a8IDIr",,False,Thu May 20 00:54:01 +0000 2010,11,14328044280
2,The New York Times,Book Review - Mr. Peanut - By Adam Ross http://nyti.ms/9zUwSe,,False,Fri Jun 25 11:56:05 +0000 2010,7,17008149239
2,The New York Times,New Drilling Agency Will Have Investigative Arm http://nyti.ms/cWeeSc,,False,Wed Jun 23 16:35:28 +0000 2010,6,16861195935
2,Twitter Web Client,Report Holds Sri Lanka to Account for Deaths http://nyti.ms/d3KNlo,,False,Sun May 16 18:07:36 +0000 2010,8,14112064400
2,Twitter Web Client,A Suspect's Trip to a Fireworks Superstore http://nyti.ms/c2cOwd,,False,Wed May 05 17:40:10 +0000 2010,5,13438597943
2,Twitter Web Client,Thai Protest Leaders Say They Are Ready to Negotiate http://nyti.ms/d6QxrO,,False,Tue May 18 05:33:32 +0000 2010,18,14209731089
3,Twitter Web Client,Mets Lead The Majors In Declining Attendance http://nyti.ms/bd0reB,,False,Fri May 14 05:18:05 +0000 2010,12,13958445564
2,The New York Times,U.S. Imposes New Penalties On Iran Firms And Officials http://nyti.ms/bAJeXv,,False,Thu Jun 17 00:17:34 +0000 2010,21,16347010237
1,The New York Times,BP Chief to Express Contrition to House Panel http://nyti.ms/daS5aZ,,False,Thu Jun 17 14:14:58 +0000 2010,5,16391914649
3,Twitter Web Client,"NYT NEWS ALERT: U.S. Economy Added 290,000 Jobs in April; Jobless Rate Rose to 9.9%",,False,Fri May 07 12:32:02 +0000 2010,17,13545932057
10,The New York Times,Magazine Preview | Smarter Than You Think: I.B.M.'s Supercomputer Challenges 'Jeopardy!' Champions http://nyti.ms/bJOMre,,False,Wed Jun 16 19:07:19 +0000 2010,16,16328421262
2,The New York Times,Time Is Short to See Some Tony Winners http://nyti.ms/cLsvZY,,False,Mon Jun 14 22:42:27 +0000 2010,8,16181294577
2,Twitter Web Client,American Ballet Theater Celebrates 70th With Gala http://nyti.ms/9FCEX7,,False,Tue May 18 17:29:44 +0000 2010,12,14240186626
5,Twitter Web Client,NYT NEWS ALERT: Dow Jones Industrials End Turbulent Week Down by 5.5%; Loss on Friday is 1.3%,,False,Fri May 07 20:10:03 +0000 2010,24,13567173967
6,Twitter Web Client,Live Blogging the 'American Idol' Finale http://nyti.ms/cn5ctl,,False,Thu May 27 01:24:58 +0000 2010,21,14802067529
4,Twitter Web Client,NYT NEWS ALERT: Mexico and Uruguay Advance to Round of 16,,False,Tue Jun 22 15:56:03 +0000 2010,51,16780447009
36,The New York Times,Swype Reinvents Typing on Touch-Screen Phones http://nyti.ms/bowrgq,,False,Mon Jun 21 00:54:19 +0000 2010,63,16656466780
3,Twitter Web Client,Bruno Gets 2 Years in Prison but Wins Reprieve http://nyti.ms/95MPSy,,False,Fri May 07 02:48:18 +0000 2010,9,13524410539
2,The New York Times,Payback Time: Labor’s New Critic: Allies in Elected Office http://nyti.ms/9As4FR,,False,Mon Jun 28 02:28:13 +0000 2010,1,17217146076
2,Twitter Web Client,Bomber Attacks Convoy in Kabul http://nyti.ms/cZYZKi,,False,Tue May 18 05:43:17 +0000 2010,9,14210099640
4,The New York Times,Ala. Professor Charged in Brother’s 1986 Death http://nyti.ms/bVflxj,,False,Wed Jun 16 22:15:48 +0000 2010,12,16339268568
9,Twitter Web Client,"Mere Silence Doesn’t Invoke Miranda, Justices Rule http://nyti.ms/cUowGy",,False,Tue Jun 01 15:43:41 +0000 2010,24,15186095702
8,The New York Times,Pope Begs Forgiveness for Abuse http://nyti.ms/apo7ad,,False,Fri Jun 11 09:54:11 +0000 2010,29,15917425176
3,The New York Times,Top General in Afghan War Apologizes for Profile http://nyti.ms/bwf7An,,False,Tue Jun 22 10:04:41 +0000 2010,9,16761880114
4,Twitter Web Client,Staten Island Ferry Crashes Into Dock http://nyti.ms/a8SbOr,,False,Sat May 08 14:53:40 +0000 2010,64,13612169118
3,The New York Times,"In Kabul, Cameron Reaffirms Support for War  http://nyti.ms/a8LYkJ",,False,Thu Jun 10 10:10:41 +0000 2010,4,15840516838
4,Twitter Web Client,NYT NEWS ALERT: British Prime Minister Gordon Brown Will Resign as Labour Party Leader By September,,False,Mon May 10 16:32:26 +0000 2010,65,13735223180
7,TweetDeck,RT @nytimestheater: Scarlett Johansson lands a Tony award for her performance in a View From the Bridge. http://fb.me/CbNvHuz1,,False,Mon Jun 14 00:27:34 +0000 2010,20,16108093295
3,The New York Times,More Oil Gushing Into Gulf After Problem With Cap http://nyti.ms/cHmqwW,,False,Wed Jun 23 18:05:39 +0000 2010,49,16866778911
0,The New York Times,"Intelligence Nominee, General Clapper, Opposed New Powers http://nyti.ms/btXzhc",,False,Wed Jun 09 10:29:03 +0000 2010,10,15772585607
16,The New York Times,New Rules Proposed for Meatpacking Industry http://nyti.ms/bIqQpw,,False,Sat Jun 19 02:56:18 +0000 2010,23,16516736510
2,Twitter Web Client,Electoral Demand Stalls Coalition Deal in Britain http://nyti.ms/aEKC61,,False,Sat May 08 16:25:14 +0000 2010,15,13616904176
3,Twitter Web Client,China Aims to Stifle Tibet’s Photocopiers http://nyti.ms/9j5P7z,,False,Fri May 21 12:27:21 +0000 2010,16,14424554651
6,Twitter Web Client,"A Bill to Control Vicious Dogs, Aimed at  Criminals http://nyti.ms/bIwAeh",,False,Sat May 15 06:29:05 +0000 2010,14,14023040070
2,Twitter Web Client,"Walter Hickel, Nixon Interior Secretary, Dies at 90 http://nyti.ms/dqGTnQ",,False,Sat May 08 10:54:27 +0000 2010,6,13602379872
8,Twitter Web Client,"NYT NEWS ALERT: Obama to Nominate Elena Kagan for Supreme Court, Democrats Say",,False,Mon May 10 03:10:03 +0000 2010,63,13704231709
5,The New York Times,South Carolina Candidate Challenges Status Quo http://nyti.ms/9ywSRG,,False,Wed Jun 09 14:39:19 +0000 2010,8,15785258909
10,Twitter Web Client,"Generation B: For Boomers, Sunblocks Come Late http://nyti.ms/dBngzr",,False,Sun May 16 18:33:51 +0000 2010,14,14113309657
0,Twitter Web Client,S.E.C. Proposes Circuit Breakers for S.&P. 500 Stocks http://nyti.ms/dlGJUJ,,False,Tue May 18 22:34:43 +0000 2010,6,14254368306
6,The New York Times,"All Her Life, the Different One http://nyti.ms/dmf3gj",,False,Mon Jun 14 03:00:34 +0000 2010,8,16117955758
2,Twitter Web Client,A Waiting Game on the Louisiana Water http://nyti.ms/cQjbbR,,False,Tue Jun 01 20:12:32 +0000 2010,13,15200678412
10,Twitter Web Client,"NYT NEWS ALERT: John Wooden, College Basketball’s Most Successful Coach, Dies",,False,Sat Jun 05 02:22:02 +0000 2010,102,15458820121
